Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,3812.10,3899.30,3812.10,3859.35,3857.570892204327635609,40484,3909,156169900.00,5856,14.46,87.20,47.25
29-December-2022,3794.00,3825.00,3750.00,3810.00,3788.103038108947647549,39597,3769,149997516.00,5201,13.13,75.00,16.00
28-December-2022,3761.90,3824.95,3746.20,3796.95,3782.994103478177088351,51895,5227,196318479.00,9240,17.81,78.75,35.05
27-December-2022,3738.00,3796.80,3697.90,3769.65,3743.180039847853649701,49689,4966,185994873.00,6851,13.79,98.90,31.65
26-December-2022,3647.00,3745.00,3620.50,3715.65,3709.826030711333624542,59522,5630,220816265.00,10099,16.97,124.50,68.65
23-December-2022,3813.00,3846.70,3617.00,3640.95,3727.332388337860888243,126632,11037,471999555.00,17088,13.49,229.70,-172.05
22-December-2022,3918.30,3944.90,3818.10,3867.10,3873.697628045781882608,148443,15689,575023297.00,32743,22.06,126.80,-51.20
21-December-2022,4172.00,4189.55,3883.45,3902.95,4001.702662396785030297,127404,10729,509832926.00,23535,18.47,306.10,-269.05
20-December-2022,4099.00,4172.90,4066.00,4164.25,4123.919378359235031873,120005,11205,494890945.00,30029,25.02,106.90,65.25
19-December-2022,3994.00,4104.55,3973.00,4081.30,4029.165175545614748542,29508,2748,118892606.00,7840,26.57,131.55,87.30
16-December-2022,4001.05,4047.00,3946.00,3979.10,3992.242755757524755252,35649,3314,142319462.00,8547,23.98,101.00,-21.95
15-December-2022,4048.10,4070.20,4026.05,4043.05,4053.817534284591013158,43241,4117,175291124.00,19118,44.21,44.15,-5.05
14-December-2022,4089.95,4091.40,4043.90,4056.40,4067.864461325449986902,26723,2184,108705542.00,5247,19.63,47.50,-33.55
13-December-2022,4038.00,4072.85,4011.60,4058.85,4049.756414113197816837,23269,2087,94233782.00,5338,22.94,61.25,20.85
